date,Time,Humidity,Temperature,WaterTemp,pH
2021-07-04,00:09:02,53.60,30.30,31.25,4.45
2021-07-04,00:29:38,56.60,29.70,31.06,15.23
2021-07-04,00:31:17,56.70,29.60,31.00,4.46
2021-07-04,13:57:42,65.20,30.00,8.63,14.92
2021-07-04,14:12:48,65.10,30.00,8.69,4.27
2021-07-04,14:27:54,65.00,30.00,8.75,4.06
2021-07-04,14:43:00,65.10,30.10,8.88,4.22
2021-07-04,14:58:06,65.10,30.00,8.94,3.92
2021-07-04,15:13:13,65.30,30.10,9.00,4.24
2021-07-04,15:28:20,65.20,30.00,9.06,3.96
2021-07-04,15:43:26,65.10,30.00,9.13,4.14
2021-07-04,15:58:32,65.10,30.00,9.19,4.22
2021-07-04,16:13:39,65.20,30.10,9.25,3.86
2021-07-04,16:28:45,65.20,30.00,9.38,4.15
2021-07-04,16:43:51,65.20,30.00,9.44,4.18
2021-07-04,16:58:58,65.10,30.00,9.50,4.23
2021-07-04,20:24:29,74.00,31.00,30.31,14.87
2021-07-04,20:39:36,73.80,31.00,30.31,4.14
2021-07-04,20:54:42,73.90,31.00,30.31,4.32
2021-07-04,21:09:48,74.00,31.00,30.31,4.25
2021-07-04,23:17:24,67.90,29.50,30.56,14.90
2021-07-04,23:32:30,67.70,29.40,30.62,4.99
2021-07-04,23:47:36,67.90,29.40,30.62,4.70
