date,Time,Humidity,Temperature,WaterTemp,pH
2021-06-28,19:58:43,54.20,32.30,-127.00,5.02
2021-06-28,19:58:54,54.00,32.30,-127.00,5.12
2021-06-28,19:59:06,52.80,32.30,-127.00,5.72
2021-06-28,20:14:07,54.30,32.30,-127.00,5.04
2021-06-28,20:29:07,55.00,32.30,-127.00,4.74
2021-06-28,20:44:08,55.00,32.30,-127.00,5.15
2021-06-28,20:59:08,54.90,32.30,-127.00,5.01
2021-06-28,21:14:08,54.50,32.40,-127.00,4.98
2021-06-28,21:28:59,67.20,31.60,-127.00,5.36
2021-06-28,21:43:59,67.20,31.60,-127.00,5.23
2021-06-28,21:58:59,67.20,31.60,-127.00,5.19
2021-06-28,22:13:59,67.50,31.70,-127.00,5.21
2021-06-28,22:28:59,67.50,31.60,-127.00,5.15
2021-06-28,22:43:59,67.50,31.70,-127.00,4.70
