date,Time,Humidity,Temperature,WaterTemp,pH
2021-05-30,00:08:39,69.60,28.00,-127.00,3.62
2021-05-30,00:08:51,67.70,28.90,-127.00,0.75
2021-05-30,00:09:03,65.40,29.90,-127.00,0.54
2021-05-30,00:09:14,63.40,30.50,-127.00,0.59
2021-05-30,00:09:26,61.70,31.10,-127.00,0.41
2021-05-30,00:09:38,60.10,31.50,-127.00,0.72
2021-05-30,00:09:49,58.80,31.80,-127.00,1.10
2021-05-30,00:10:01,57.60,32.00,-127.00,0.95
2021-05-30,00:10:12,56.70,32.30,-127.00,0.57
2021-05-30,00:10:24,55.90,32.50,-127.00,0.61
2021-05-30,00:10:36,55.10,32.60,-127.00,0.54
2021-05-30,00:10:47,54.50,32.70,-127.00,0.55
2021-05-30,00:10:59,54.00,32.90,-127.00,0.68
2021-05-30,00:11:11,53.50,33.00,-127.00,0.71
2021-05-30,00:11:22,53.00,33.10,-127.00,0.49
2021-05-30,00:11:34,52.60,33.20,-127.00,0.94
2021-05-30,00:11:46,52.60,33.30,-127.00,0.96
